"Funder / Program","Type","Amount","Deadline","501(c)(3) Required","Fit / Eligibility","Status","Next Action","Link"
"NY Community Trust","Grant","$20,000 (received 2025)","Annual relationship","No - they are 501(c)(3); potential fiscal sponsor","Current sole funder; accessibility / older-adults program; possible fiscal-sponsor pathway via Fund for the City of NY","Active funder","Send grant success report; explore renewed/expanded funding; pursue fiscal sponsorship","https://www.thenytrust.org"
"Harry S. Black & Allon Fuller Fund (Bank of America)","Grant","$5,000-$20,000 (avg $10,000)","2026-06-30 (decision by Oct 31)","Yes - or fiscal sponsor","Strong: funds orgs serving physically disabled adults in NYC; general operating + program funds","In progress","Assemble attachments (budgets, board list, 990, 501c3 letter or fiscal sponsor); apply via BofA portal","https://bofa-gh.foundationsource.com/form"
"Ford Foundation - JustFilms Documentary Production","Grant","~$50,000-$200,000","2026-09-01","Yes - or fiscal sponsor","Strong mission fit; needs artist-driven feature doc (Opera America performance as basis)","To research","Develop film concept; secure fiscal sponsor + filmmaker partner","https://www.fordfoundation.org"
"Ford Foundation - NYC Good Neighbor Committee","Grant","$100,000+","Check 2026 cycle (awards Dec-Feb)","Yes - or fiscal sponsor","Large NYC community awards","To research","Confirm 2026 cycle open date","https://www.fordfoundation.org/about/about-the-ford-foundation/new-york-city-good-neighbor-committee/"
"Ben & Jerry's Foundation - Jerry Greenfield Grassroots Organizing","Grant","Up to $30,000 (avg $20,000)","2027-02-18 (2026 cycle passed)","Yes - or fiscal sponsor","Constituent-led grassroots; budget under $350k; US only; unrestricted operating support","In progress","Prep LOI for next cycle (LOI ~Dec 2026)","https://www.benandjerrysfoundation.org"
"Third Wave Fund - Disability Frontlines Fund","Grant","$5,000-$35,000 (2-year)","Invitation only","No","Excellent: BIPOC disabled, intersectional, grassroots movements","To research","Build relationship; inquire about invitation","https://www.thirdwavefund.org"
"The Awesome Foundation - Disability Chapter","Grant","$1,000","Rolling (monthly)","No","Honors Alice Wong; fast microgrant; model DID donation page after it","Recurring","Submit a project pitch","https://www.awesomefoundation.org"
"Matriarch Digital Media - Our Greatness Grant","Grant","Micro (amount TBD)","Rolling (monthly review)","No","Independent Women-of-Color podcasters","Recurring","Apply for podcast support","https://www.matriarchdigitalmedia.com"
"Giving Joy Grants","Grant","$500 (micro)","Cycle open (2026)","No","General microgrant","To research","Submit application","https://givingjoygrants.org"
"NYC Office for Prevention of Hate Crimes - Community Project / Youth Ambassador","Grant","Up to $10,000 (community); $1,000/youth project","Opens ~Oct 31-Nov 30; awards Dec","No","Disability + anti-hate; active partnership; HEARTworks art contest referral ($500/$300/$200 youth prizes)","In progress","Follow up email; HEARTworks youth referrals; finalize partnership","https://www.nyc.gov/site/stophate"
"NYC Commission on Human Rights - Community Project Grants","Grant","Up to $10,000","Opens ~Oct 2026","No","Ages 14+; cannot combine with PATH Forward initiative","To research","Apply in fall cycle","https://www.nyc.gov/site/cchr"
"Just Thrive (Justworks x The Well Work)","Grant","$2,000-$6,000","Ongoing (recheck 2026-03-01)","No","Requires Justworks PEO customer + 2+ W-2 employees; 50%+ owned by historically excluded group","Not eligible (yet)","Revisit after hiring W-2 staff + joining Justworks","https://www.justworks.com"
"Brava Thrive Grant","Grant","TBD (includes AI access)","Reapply Jan 2026","Unknown","Submitted; received 14-day AI access; invited to reapply","Applied","Reapply in 2026 window","https://www.brava.org"
"Hey Helen Grant","Grant","$10,000","2025-12-30 (passed)","No","Women founders; unrestricted; $15 admin fee","Declined","--","not-a-url"
"Echoing Green Fellowship","Grant/Fellowship","Fellowship support","Annual","No","Applied 3x unsuccessfully; very detailed application","To research","Research requirements before a 4th attempt","https://echoinggreen.org"
"TGR Foundation","Grant","TBD","TBD","Unknown","Education focus","To research","Review funder 990 + guidelines","https://tgrfoundation.org"
"Tisch Art Fund","Grant","TBD","TBD","Unknown","Arts funding","To research","Research guidelines","https://tisch.nyu.edu"
"W.K. Kellogg Foundation","Grant","TBD","Rolling","Unknown","Racial equity; children & families","To research","Review how-to-apply","https://www.wkkf.org/grantseekers/"
"Yield Giving (MacKenzie Scott)","Grant","Large","Open calls","Unknown","NY / Northeast focus available","To research","Watch for open call","https://yieldgiving.com"
"Bank of America Charitable Foundation","Grant","TBD","TBD","Likely yes","Community impact / economic mobility","To research","Review funding areas","https://about.bankofamerica.com"
"Wells Fargo (Versaic)","Grant","TBD","TBD","Likely yes","Corporate giving portal","To research","Check eligibility","https://wellsfargo.versaic.com"
"The CEK Foundation","Grant","TBD","TBD","Unknown","--","To research","Review approach","https://www.thecekfoundation.org"
"Milbank Foundation","Grant","TBD","TBD","Unknown","Disability-relevant giving","To research","Review grant guidelines","https://milbankfoundation.net/grant-guidelines/"
"Borealis Philanthropy - DIF Joy Grants","Grant","TBD","2025 cycle (recheck)","No (intermediary funder)","Disability Inclusion Fund (DIF)","To research","Check 2026 Joy grants cycle","https://borealisphilanthropy.org"
"Stavros Niarchos Foundation (SNF)","Grant","TBD","Rolling","Likely yes","Large international foundation","To research","Run foundation search","https://www.snf.org"
"TD Bank - Funding Opportunities","Grant","TBD","--","Yes (required)","501(c)(3) designation required","Not eligible (yet)","Revisit after 501(c)(3)","https://www.td.com/us/en/about-us/funding-opportunities"
"Truist Foundation","Grant","TBD","--","Unknown","Wants programs that grow small businesses / financial independence - poor fit","Not eligible","--","https://www.truistfoundation.org"
"37 Angels","Investment (not grant)","Equity investment","Rolling","No","Women founders - angel INVESTMENT, not a grant","To research","Note: equity, not grant funding","https://www.37angels.com/female"
